"id","genes","cluster","symbol"
"ENSMUSG00000040405","ENSMUSG00000040405",1,"Havcr1"
"ENSMUSG00000028017","ENSMUSG00000028017",2,"Egf"
"ENSMUSG00000034810","ENSMUSG00000034810",3,"Scn7a"
"ENSMUSG00000027199","ENSMUSG00000027199",2,"Gatm"
"ENSMUSG00000026348","ENSMUSG00000026348",2,"Acmsd"
"ENSMUSG00000022037","ENSMUSG00000022037",1,"Clu"
"ENSMUSG00000029304","ENSMUSG00000029304",1,"Spp1"
"ENSMUSG00000041052","ENSMUSG00000041052",2,"Slc7a13"
"ENSMUSG00000021490","ENSMUSG00000021490",2,"Slc34a1"
"ENSMUSG00000021477","ENSMUSG00000021477",1,"Ctsl"
"ENSMUSG00000083863","ENSMUSG00000083863",4,NA
"ENSMUSG00000004730","ENSMUSG00000004730",3,"Adgre1"
"ENSMUSG00000061947","ENSMUSG00000061947",1,"Serpina10"
"ENSMUSG00000022445","ENSMUSG00000022445",2,"Cyp2d26"
"ENSMUSG00000027962","ENSMUSG00000027962",5,"Vcam1"
"ENSMUSG00000083563","ENSMUSG00000083563",4,NA
"ENSMUSG00000038608","ENSMUSG00000038608",5,"Dock10"
"ENSMUSG00000024313","ENSMUSG00000024313",2,"Mep1b"
"ENSMUSG00000005980","ENSMUSG00000005980",6,"Dnase1"
"ENSMUSG00000022613","ENSMUSG00000022613",2,"Miox"
"ENSMUSG00000040254","ENSMUSG00000040254",7,"Sema3d"
"ENSMUSG00000076441","ENSMUSG00000076441",2,"Ass1"
"ENSMUSG00000024164","ENSMUSG00000024164",8,"C3"
"ENSMUSG00000025479","ENSMUSG00000025479",2,"Cyp2e1"
"ENSMUSG00000039438","ENSMUSG00000039438",2,"Ttc36"
"ENSMUSG00000078597","ENSMUSG00000078597",1,"Cyp4a12b"
"ENSMUSG00000028001","ENSMUSG00000028001",1,"Fga"
"ENSMUSG00000032231","ENSMUSG00000032231",1,"Anxa2"
"ENSMUSG00000090634","ENSMUSG00000090634",1,NA
"ENSMUSG00000047586","ENSMUSG00000047586",2,"Nccrp1"
"ENSMUSG00000055095","ENSMUSG00000055095",1,"Spink6"
"ENSMUSG00000003617","ENSMUSG00000003617",1,"Cp"
"ENSMUSG00000015852","ENSMUSG00000015852",3,"Fcrls"
"ENSMUSG00000030359","ENSMUSG00000030359",6,"Pzp"
"ENSMUSG00000066097","ENSMUSG00000066097",2,"Cyp2j11"
"ENSMUSG00000078650","ENSMUSG00000078650",2,"G6pc"
"ENSMUSG00000028222","ENSMUSG00000028222",9,"Calb1"
"ENSMUSG00000019278","ENSMUSG00000019278",2,"Dpep1"
"ENSMUSG00000030218","ENSMUSG00000030218",3,"Mgp"
"ENSMUSG00000028494","ENSMUSG00000028494",1,"Plin2"
"ENSMUSG00000001467","ENSMUSG00000001467",2,"Cyp51"
"ENSMUSG00000027202","ENSMUSG00000027202",2,"Slc12a1"
"ENSMUSG00000005054","ENSMUSG00000005054",1,"Cstb"
"ENSMUSG00000031004","ENSMUSG00000031004",8,"Mki67"
