seq known correct t5 t3 mut add mapped amb
hsa-mir-449a_hsa-miR-449a_17:35_1:-2_mut:null_add:T hsa-miR-449a True True False True False hsa-miR-449b-5p 2
hsa-mir-7846_hsa-miR-7846-3p_69:88_1:0_mut:null_add:ATT hsa-miR-7846-3p True False False True False hsa-miR-7846-3p 1
hsa-mir-128-2_hsa-miR-128-2-5p_16:35_1:-2_mut:null_add:null hsa-miR-128-2-5p True True False False False hsa-miR-128-2-5p 1
hsa-mir-6863_hsa-miR-6863_64:85_0:-1_mut:null_add:null hsa-miR-6863 False True False False False hsa-miR-6863 1
hsa-mir-6894_hsa-miR-6894-5p_6:28_0:-1_mut:null_add:null hsa-miR-6894-5p False True False False False hsa-miR-6894-5p 1
hsa-mir-5693_hsa-miR-5693_47:63_4:-1_mut:null_add:null hsa-miR-5693 True True False False False hsa-miR-5693 1
hsa-mir-200c_hsa-miR-200c-5p_7:25_2:-1_mut:null_add:null hsa-miR-200c-5p True True False False False hsa-miR-200c-5p 1
hsa-mir-7845_hsa-miR-7845-5p_6:22_3:-1_mut:null_add:TT hsa-miR-7845-5p True True False True False hsa-miR-7845-5p 1
hsa-mir-92b_hsa-miR-92b-5p_20:40_0:-1_mut:null_add:null hsa-miR-92b-5p False True False False False hsa-miR-92b-5p 1
hsa-mir-650_hsa-miR-650_17:34_1:-2_mut:null_add:TTA hsa-miR-650 True True False True False hsa-miR-650 1
hsa-mir-4508_hsa-miR-4508_10:24_1:-1_mut:null_add:null hsa-miR-4508 True True False False False hsa-miR-4508 1
hsa-mir-194-2_hsa-miR-194-5p_17:35_2:-1_mut:null_add:TT hsa-miR-194-5p True True False True False hsa-miR-194-5p 2
hsa-mir-4253_hsa-miR-4253_43:57_2:-1_mut:null_add:null hsa-miR-4253 True True False False False hsa-miR-4253 1
hsa-mir-128-2_hsa-miR-128-2-5p_14:35_-1:-2_mut:null_add:T hsa-miR-128-2-5p True True False True False hsa-miR-128-2-5p 1
hsa-mir-518b_hsa-miR-518b_49:71_-2:-1_mut:null_add:null hsa-miR-518b True True False False False hsa-miR-518b 1
hsa-mir-633_hsa-miR-633_59:82_-2:-1_mut:19G_add:null hsa-miR-633 True True True False False hsa-miR-633 1
hsa-mir-5587_hsa-miR-5587-5p_4:17_3:-1_mut:null_add:A hsa-miR-5587-5p True True False True False hsa-miR-5587-5p 1
hsa-mir-661_hsa-miR-661_55:72_4:-2_mut:null_add:null hsa-miR-661 True True False False False hsa-miR-661 1
hsa-mir-378h_hsa-miR-378h_11:29_2:0_mut:null_add:AA hsa-miR-378h True False False True False hsa-miR-378h 1
hsa-mir-6510_hsa-miR-6510-5p_4:23_1:-1_mut:null_add:null hsa-miR-6510-5p True True False False False hsa-miR-6510-5p 1
hsa-mir-3944_hsa-miR-3944-5p_21:43_-2:0_mut:1T_add:null hsa-miR-3944-5p True False True False False hsa-miR-3944-5p 1
hsa-mir-5189_hsa-miR-5189-5p_24:48_-2:-1_mut:null_add:A hsa-miR-5189-5p True True False True False hsa-miR-5189-5p 1
hsa-mir-758_hsa-miR-758-5p_18:35_3:-1_mut:null_add:TTA hsa-miR-758-5p True True False True False hsa-miR-758-5p 1
hsa-mir-143_hsa-miR-143-5p_27:47_0:-1_mut:null_add:AT hsa-miR-143-5p False True False True False hsa-miR-143-5p 1
hsa-mir-6786_hsa-miR-6786-5p_57:72_4:-1_mut:null_add:T hsa-miR-6786-5p True True False True False hsa-miR-6786-5p 1
hsa-mir-26b_hsa-miR-26b-5p_11:31_-1:-1_mut:null_add:null hsa-miR-26b-5p True True False False False hsa-miR-26b-5p 1
hsa-mir-6508_hsa-miR-6508-5p_8:24_3:-1_mut:null_add:null hsa-miR-6508-5p True True False False False hsa-miR-6508-5p 1
hsa-mir-3181_hsa-miR-3181_9:26_0:-1_mut:null_add:T hsa-miR-3181 False True False True False hsa-miR-3181 1
hsa-mir-29c_hsa-miR-29c-5p_15:36_-1:-1_mut:null_add:ATA hsa-miR-29c-5p True True False True False hsa-miR-29c-5p 1
hsa-mir-4749_hsa-miR-4749-5p_7:23_4:-1_mut:null_add:null hsa-miR-4749-5p True True False False False hsa-miR-4749-5p 1
hsa-mir-1243_hsa-miR-1243_8:25_3:-1_mut:null_add:null hsa-miR-1243 True True False False False hsa-miR-1243 1
hsa-mir-6880_hsa-miR-6880-5p_8:26_2:-1_mut:null_add:null hsa-miR-6880-5p True True False False False hsa-miR-6880-5p 1
hsa-mir-4770_hsa-miR-4770_39:56_-1:-1_mut:null_add:TTA hsa-miR-4770 True True False True False hsa-miR-4770 1
hsa-mir-761_hsa-miR-761_10:27_3:-1_mut:null_add:AAA hsa-miR-761 True True False True False hsa-miR-761 1
hsa-mir-4763_hsa-miR-4763-5p_22:38_3:-1_mut:null_add:null hsa-miR-4763-5p True True False False False hsa-miR-4763-5p 1
hsa-mir-5093_hsa-miR-5093_72:89_4:-1_mut:null_add:null hsa-miR-5093 True True False False False hsa-miR-5093 1
hsa-mir-1273g_hsa-miR-1273g-5p_27:46_1:-1_mut:null_add:null hsa-miR-1273g-5p True True False False False hsa-miR-1273g-5p 1
hsa-mir-580_hsa-miR-580-5p_21:42_-1:-1_mut:null_add:AAA hsa-miR-580-5p True True False True False hsa-miR-580-5p 1
hsa-mir-600_hsa-miR-600_62:82_1:-1_mut:null_add:null hsa-miR-600 True True False False False hsa-miR-600 1
hsa-mir-649_hsa-miR-649_62:82_1:0_mut:null_add:null hsa-miR-649 True False False False False hsa-miR-649 1
hsa-mir-6780a_hsa-miR-6780a-5p_5:27_-1:-1_mut:null_add:null hsa-miR-6780a-5p True True False False False hsa-miR-6780a-5p 1
hsa-mir-15b_hsa-miR-15b-5p_23:40_3:-1_mut:null_add:TT hsa-miR-15b-5p True True False True False hsa-miR-15b-5p 1
hsa-mir-4442_hsa-miR-4442_48:64_-1:-1_mut:null_add:ATA hsa-miR-4442 True True False True False hsa-miR-4442 1
hsa-mir-4281_hsa-miR-4281_36:52_1:0_mut:null_add:null hsa-miR-4281 True False False False False hsa-miR-4281 1
hsa-mir-6831_hsa-miR-6831-5p_5:24_3:-1_mut:null_add:null hsa-miR-6831-5p True True False False False hsa-miR-6831-5p 1
hsa-mir-3065_hsa-miR-3065-5p_11:31_1:-1_mut:null_add:null hsa-miR-3065-5p True True False False False hsa-miR-338-3p 2
hsa-mir-518c_hsa-miR-518c-5p_25:45_1:-1_mut:null_add:null hsa-miR-518c-5p True True False False False hsa-miR-518c-5p 1
hsa-mir-3198-2_hsa-miR-3198_53:68_4:-2_mut:null_add:null hsa-miR-3198 True True False False False hsa-miR-3198 2
hsa-mir-548i-2_hsa-miR-548i_43:60_4:0_mut:null_add:null hsa-miR-548i True False False False False hsa-miR-548i 4
hsa-mir-3064_hsa-miR-3064-5p_2:23_-1:0_mut:null_add:AAA hsa-miR-3064-5p True False False True False hsa-miR-3064-5p 1
hsa-mir-6866_hsa-miR-6866-5p_5:27_-1:-1_mut:null_add:AAT hsa-miR-6866-5p True True False True False hsa-miR-6866-5p 1
hsa-mir-557_hsa-miR-557_64:82_3:-1_mut:17T_add:TA hsa-miR-557 True True True True False hsa-miR-557 1
hsa-mir-3689a_hsa-miR-3689a-5p_12:30_2:-1_mut:null_add:null hsa-miR-3689a-5p True True False False False hsa-miR-3689e 3
hsa-mir-4717_hsa-miR-4717-5p_10:30_0:-1_mut:null_add:null hsa-miR-4717-5p False True False False False hsa-miR-4717-3p 2
hsa-mir-6811_hsa-miR-6811-5p_5:22_3:-1_mut:null_add:T hsa-miR-6811-5p True True False True False hsa-miR-6811-5p 1
hsa-mir-6736_hsa-miR-6736-5p_8:25_2:-1_mut:17C_add:null hsa-miR-6736-5p True True True False False hsa-miR-6736-5p 1
hsa-mir-3926-1_hsa-miR-3926_12:30_1:-1_mut:null_add:null hsa-miR-3926 True True False False False hsa-miR-3926 2
hsa-mir-6855_hsa-miR-6855-5p_4:29_-2:-1_mut:null_add:null hsa-miR-6855-5p True True False False False hsa-miR-6855-5p 1
hsa-mir-5588_hsa-miR-5588-5p_1:21_0:0_mut:21A_add:null hsa-miR-5588-5p False False True False False hsa-miR-5588-5p 1
hsa-mir-4265_hsa-miR-4265_72:89_1:0_mut:null_add:ATA hsa-miR-4265 True False False True False hsa-miR-4265 1
hsa-mir-6807_hsa-miR-6807-5p_3:20_2:-2_mut:null_add:TTA hsa-miR-6807-5p True True False True False hsa-miR-6807-5p 1
hsa-mir-93_hsa-miR-93-5p_13:32_2:-1_mut:null_add:A hsa-miR-93-5p True True False True False hsa-miR-93-5p 1
hsa-mir-203b_hsa-miR-203b-5p_13:35_-2:-1_mut:18G_add:TTA hsa-miR-203b-5p True True True True False hsa-miR-203b-5p 2
hsa-mir-320a_hsa-miR-320a_47:68_-1:-1_mut:null_add:T hsa-miR-320a True True False True False hsa-miR-320a 1
hsa-mir-193a_hsa-miR-193a-5p_23:40_2:-2_mut:null_add:null hsa-miR-193a-5p True True False False False hsa-miR-193a-5p 1
hsa-mir-664b_hsa-miR-664b-5p_3:23_2:-1_mut:null_add:null hsa-miR-664b-5p True True False False False hsa-miR-664b-5p 1
hsa-mir-4452_hsa-miR-4452_47:67_1:-1_mut:null_add:null hsa-miR-4452 True True False False False hsa-miR-4452 1
hsa-mir-124-2_hsa-miR-124-5p_23:45_-2:-1_mut:null_add:null hsa-miR-124-5p True True False False False hsa-miR-124-5p 2
hsa-mir-3202-2_hsa-miR-3202_8:27_0:-2_mut:null_add:null hsa-miR-3202 False True False False False hsa-miR-3202 2
hsa-mir-1254-1_hsa-miR-1254_17:40_-1:-1_mut:3A_add:null hsa-miR-1254 True True True False False hsa-miR-1254 2
hsa-mir-192_hsa-miR-192-5p_24:43_0:-1_mut:null_add:null hsa-miR-192-5p False True False False False hsa-miR-192-5p 1
hsa-mir-7114_hsa-miR-7114-5p_8:25_2:-1_mut:18A_add:AAT hsa-miR-7114-5p True True True True False hsa-miR-7114-5p 1
hsa-mir-33a_hsa-miR-33a-5p_8:25_2:-1_mut:null_add:T hsa-miR-33a-5p True True False True False hsa-miR-33a-5p 1
hsa-mir-3665_hsa-miR-3665_27:41_2:-1_mut:null_add:null hsa-miR-3665 True True False False False hsa-miR-3665 1
hsa-mir-4794_hsa-miR-4794_12:29_3:-1_mut:null_add:null hsa-miR-4794 True True False False False hsa-miR-4794 1
hsa-mir-648_hsa-miR-648_17:33_1:-1_mut:null_add:T hsa-miR-648 True True False True False hsa-miR-648 1
hsa-mir-597_hsa-miR-597-5p_15:36_-1:-1_mut:null_add:TT hsa-miR-597-5p True True False True False hsa-miR-597-5p 1
hsa-mir-6788_hsa-miR-6788-5p_8:26_2:0_mut:null_add:A hsa-miR-6788-5p True False False True False hsa-miR-6788-5p 1
hsa-mir-4664_hsa-miR-4664-5p_13:30_3:-1_mut:null_add:T hsa-miR-4664-5p True True False True False hsa-miR-4664-5p 1
hsa-mir-4256_hsa-miR-4256_12:27_1:-1_mut:null_add:ATT hsa-miR-4256 True True False True False hsa-miR-4256 1
hsa-mir-3194_hsa-miR-3194-5p_9:29_-1:-1_mut:null_add:null hsa-miR-3194-5p True True False False False hsa-miR-3194-5p 1
hsa-mir-7849_hsa-miR-7849-3p_66:83_2:-2_mut:null_add:null hsa-miR-7849-3p True True False False False hsa-miR-7849-3p 1
hsa-mir-4700_hsa-miR-4700-5p_10:30_0:-1_mut:null_add:AT hsa-miR-4700-5p False True False True False hsa-miR-4700-5p 1
hsa-mir-4711_hsa-miR-4711-5p_9:27_3:-1_mut:null_add:TA hsa-miR-4711-5p True True False True False hsa-miR-4711-5p 1
hsa-mir-382_hsa-miR-382-5p_10:31_-1:-1_mut:null_add:null hsa-miR-382-5p True True False False False hsa-miR-382-5p 1
hsa-mir-8077_hsa-miR-8077_44:64_0:-1_mut:null_add:null hsa-miR-8077 False True False False False hsa-miR-8077 1
hsa-mir-2115_hsa-miR-2115-5p_20:41_-1:-1_mut:null_add:null hsa-miR-2115-5p True True False False False hsa-miR-2115-5p 1
hsa-mir-3686_hsa-miR-3686_55:75_0:-1_mut:null_add:AT hsa-miR-3686 False True False True False hsa-miR-3686 1
hsa-mir-624_hsa-miR-624-5p_17:36_1:-1_mut:null_add:A hsa-miR-624-5p True True False True False hsa-miR-624-5p 1
hsa-mir-577_hsa-miR-577_18:35_2:-1_mut:null_add:AT hsa-miR-577 True True False True False hsa-miR-577 1
hsa-mir-559_hsa-miR-559_16:35_0:-1_mut:null_add:null hsa-miR-559 False True False False False hsa-miR-559 1
hsa-mir-2110_hsa-miR-2110_10:27_2:-2_mut:null_add:AAT hsa-miR-2110 True True False True False hsa-miR-2110 1
hsa-mir-5091_hsa-miR-5091_12:32_1:-1_mut:null_add:null hsa-miR-5091 True True False False False hsa-miR-5091 1
hsa-mir-648_hsa-miR-648_16:33_0:-1_mut:null_add:AA hsa-miR-648 False True False True False hsa-miR-648 1
hsa-mir-6835_hsa-miR-6835-5p_7:26_1:-1_mut:null_add:null hsa-miR-6835-5p True True False False False hsa-miR-6835-5p 1
hsa-mir-4329_hsa-miR-4329_45:60_2:-1_mut:null_add:null hsa-miR-4329 True True False False False hsa-miR-4329 1
hsa-mir-3654_hsa-miR-3654_38:55_0:-1_mut:null_add:null hsa-miR-3654 False True False False False hsa-miR-3654 1
hsa-mir-101-2_hsa-miR-101-3p_50:69_1:0_mut:null_add:AT hsa-miR-101-3p True False False True False hsa-miR-101-3p 2
hsa-mir-1245a_hsa-miR-1245a_44:64_-1:-1_mut:null_add:null hsa-miR-1245a True True False False False hsa-miR-1245b-5p 2
hsa-mir-1263_hsa-miR-1263_15:34_2:0_mut:null_add:AT hsa-miR-1263 True False False True False hsa-miR-1263 1
hsa-mir-4255_hsa-miR-4255_11:27_0:0_mut:null_add:null hsa-miR-4255 False False False False False hsa-miR-4255 1
hsa-mir-4498_hsa-miR-4498_6:26_0:-1_mut:null_add:null hsa-miR-4498 False True False False False hsa-miR-4498 1
hsa-mir-19b-1_hsa-miR-19b-1-5p_16:37_0:-1_mut:null_add:AT hsa-miR-19b-1-5p False True False True False hsa-miR-19b-1-5p 1
hsa-mir-6819_hsa-miR-6819-5p_4:26_-2:-1_mut:null_add:A hsa-miR-6819-5p True True False True False hsa-miR-6819-5p 1
hsa-mir-8085_hsa-miR-8085_9:30_-2:-1_mut:null_add:TT hsa-miR-8085 True True False True False hsa-miR-8085 1
hsa-mir-7850_hsa-miR-7850-5p_7:28_-2:-1_mut:null_add:null hsa-miR-7850-5p True True False False False hsa-miR-7850-5p 1
hsa-mir-337_hsa-miR-337-5p_22:42_-1:-1_mut:null_add:null hsa-miR-337-5p True True False False False hsa-miR-337-5p 1
hsa-mir-1200_hsa-miR-1200_12:29_3:-1_mut:null_add:A hsa-miR-1200 True True False True False hsa-miR-1200 1
hsa-mir-4669_hsa-miR-4669_41:59_2:-1_mut:null_add:null hsa-miR-4669 True True False False False hsa-miR-4669 1
hsa-mir-194-2_hsa-miR-194-5p_15:35_0:-1_mut:19C_add:A hsa-miR-194-5p False True True True False hsa-miR-194-5p 2
hsa-mir-3176_hsa-miR-3176_63:77_3:-1_mut:null_add:null hsa-miR-3176 True True False False False hsa-miR-3176 1
hsa-mir-629_hsa-miR-629-5p_20:41_-2:-1_mut:null_add:TA hsa-miR-629-5p True True False True False hsa-miR-629-5p 1
hsa-mir-6728_hsa-miR-6728-5p_4:27_-2:-1_mut:23T_add:null hsa-miR-6728-5p True True True False False hsa-miR-6728-5p 1
hsa-mir-514a-3_hsa-miR-514a-5p_19:38_2:-1_mut:null_add:AAT hsa-miR-514a-5p True True False True False hsa-miR-514a-5p 3
